input_file,number_keys,num_processors,elapsed_time
test_data/input_32M_8.txt, 33554432, 128, 3.17202
test_data/input_32M_8.txt, 33554432, 256, 3.23817
test_data/input_32M_9.txt, 33554432, 2, 2.97343
test_data/input_32M_9.txt, 33554432, 4, 2.25128
test_data/input_32M_9.txt, 33554432, 8, 1.71177
test_data/input_32M_9.txt, 33554432, 16, 2.03119
test_data/input_32M_9.txt, 33554432, 32, 1.50664
test_data/input_32M_9.txt, 33554432, 64, 2.87249
test_data/input_32M_9.txt, 33554432, 128, 1.73207
test_data/input_32M_9.txt, 33554432, 256, 2.0602
test_data/input_32M_10.txt, 33554432, 2, 2.96653
test_data/input_32M_10.txt, 33554432, 4, 2.66976
test_data/input_32M_10.txt, 33554432, 8, 1.83056
test_data/input_32M_10.txt, 33554432, 16, 2.1282
test_data/input_32M_10.txt, 33554432, 32, 1.61758
test_data/input_32M_10.txt, 33554432, 64, 2.45875
test_data/input_32M_10.txt, 33554432, 128, 2.84297
test_data/input_32M_10.txt, 33554432, 256, 1.67549
test_data/input_64M_1.txt, 67108864, 2, 7.64994
test_data/input_64M_1.txt, 67108864, 4, 6.77539
test_data/input_64M_1.txt, 67108864, 8, 6.13466
test_data/input_64M_1.txt, 67108864, 16, 5.51764
test_data/input_64M_1.txt, 67108864, 32, 5.31939
test_data/input_64M_1.txt, 67108864, 64, 4.9872
test_data/input_64M_1.txt, 67108864, 128, 6.45376
test_data/input_64M_1.txt, 67108864, 256, 4.84966
test_data/input_64M_2.txt, 67108864, 2, 7.68047
test_data/input_64M_2.txt, 67108864, 4, 6.86512
test_data/input_64M_2.txt, 67108864, 8, 5.61172
test_data/input_64M_2.txt, 67108864, 16, 5.97305
test_data/input_64M_2.txt, 67108864, 32, 3.53403
test_data/input_64M_2.txt, 67108864, 64, 7.18297
test_data/input_64M_2.txt, 67108864, 128, 7.08966
